1003,24561234,3,2024-09-25,2024-10-16
1006,17895432,6,2024-10-10,2024-10-31
1009,20987651,9,2024-09-25,2024-10-16
1012,21098765,12,2024-09-10,2024-10-01
1015,19865421,15,2024-10-01,2024-10-22
1001,10451234,1,2024-09-10,2024-10-01
1004,13458762,4,2024-10-01,2024-10-22
1007,19876543,7,2024-10-15,2024-11-05
1010,12987653,10,2024-10-05,2024-10-26
1013,17895467,13,2024-09-22,2024-10-13
1002,19874512,2,2024-09-15,2024-10-06
1005,24569874,5,2024-10-05,2024-10-26
1008,10987654,8,2024-10-20,2024-11-10
1011,21087653,
